X,Y,Z
4427289.02511597,-844564.160945012,9249
4427289.02511597,-843851.158607756,9236
4427289.02511597,-843138.156270501,9310
4427289.02511597,-842425.153933246,9478
4427289.02511597,-841712.069998103,9563
4427289.02511597,-840999.067660848,9580
4427289.02511597,-840286.065323593,9614
4427289.02511597,-839573.062986338,9657
4427289.02511597,-838860.060649082,9687
4427289.02511597,-838147.058311827,9701
4427289.02511597,-837434.055974572,9734
4427289.02511597,-836720.972039429,9776
4427289.02511597,-836007.969702174,9814
4427289.02511597,-835294.967364919,9853
4427289.02511597,-834581.965027664,9888
4427289.02511597,-833868.962690408,9930
4427289.02511597,-833155.960353153,9973
4427289.02511597,-832442.958015898,9984
4427289.02511597,-831729.955678643,9980
4427289.02511597,-831016.8717435,9975
4427289.02511597,-830303.869406245,9979
4427289.02511597,-829590.86706899,10017
4427289.02511597,-828877.864731735,10080
4427289.02511597,-828164.862394479,10155
4427289.02511597,-827451.860057224,10223
4427289.02511597,-826738.857719969,10311
4427289.02511597,-826025.773784827,10421
4427289.02511597,-825312.771447571,10495
4427289.02511597,-824599.769110316,10581
4427289.02511597,-823886.766773061,10691
4427289.02511597,-823173.764435805,10802
4427289.02511597,-822460.76209855,11014
4427289.02511597,-821747.759761295,11209
4427289.02511597,-821034.75742404,11343
4427289.02511597,-820321.673488897,11512
4427289.02511597,-819608.671151642,11671
4427289.02511597,-818895.668814387,11776
4427289.02511597,-818182.666477132,11819
4427289.02511597,-817469.664139876,11837
4427289.02511597,-816756.661802621,11843
4427289.02511597,-816043.659465366,11847
4427289.02511597,-815330.575530223,11850
4427289.02511597,-814617.573192968,11853
4427289.02511597,-813904.570855713,11856
4427289.02511597,-813191.568518458,11858
4427289.02511597,-812478.566181202,11860
4427289.02511597,-811765.563843947,11862
4427289.02511597,-811052.561506692,11863
4427289.02511597,-810339.559169437,11864
4427289.02511597,-809626.475234294,11866
4427289.02511597,-808913.472897039,11867
4427289.02511597,-808200.470559784,11868
4427289.02511597,-807487.468222528,11868
4427289.02511597,-806774.465885273,11869
4427289.02511597,-806061.463548018,11870
4427289.02511597,-805348.461210763,11871
4427289.02511597,-804635.37727562,11871
4427289.02511597,-803922.374938365,11872
4427289.02511597,-803209.37260111,11872
4427289.02511597,-802496.370263855,11872
4427289.02511597,-801783.367926599,11873
4427289.02511597,-801070.365589344,11874
4427289.02511597,-800357.363252089,11875
4427289.02511597,-799644.360914834,11876
4427289.02511597,-798931.276979691,11876
4427289.02511597,-798218.274642436,11877
4427289.02511597,-797505.272305181,11878
4427289.02511597,-796792.269967926,11879
4427289.02511597,-796079.26763067,11880
