X,Y,Z
2929519.4896698017,-727085.5880165107,-2026.3866
2929519.4896698017,-726471.7640495301,-2035.9624000000001
2929519.4896698017,-725857.9400825503,-1981.454
2929519.4896698017,-725244.1161155705,-1857.7051999999999
2929519.4896698017,-724630.2219009398,-1795.0942
2929519.4896698017,-724016.3979339601,-1782.572
2929519.4896698017,-723402.5739669803,-1757.5276
2929519.4896698017,-722788.7500000007,-1725.8537999999999
2929519.4896698017,-722174.9260330199,-1703.7558000000001
2929519.4896698017,-721561.1020660402,-1693.4434
2929519.4896698017,-720947.2780990604,-1669.1356
2929519.4896698017,-720333.3838844298,-1638.1984
2929519.4896698017,-719719.55991745,-1610.2076000000002
2929519.4896698017,-719105.7359504702,-1581.4802
2929519.4896698017,-718491.9119834905,-1555.6992
2929519.4896698017,-717878.0880165099,-1524.762
2929519.4896698017,-717264.26404953,-1493.0882
2929519.4896698017,-716650.4400825503,-1484.9856
2929519.4896698017,-716036.6161155705,-1487.932
2929519.4896698017,-715422.7219009399,-1491.615
2929519.4896698017,-714808.8979339601,-1488.6686
2929519.4896698017,-714195.0739669803,-1460.6778
2929519.4896698017,-713581.2500000005,-1414.272
2929519.4896698017,-712967.42603302,-1359.027
2929519.4896698017,-712353.6020660403,-1308.9382
2929519.4896698017,-711739.7780990604,-1244.1173999999999
2929519.4896698017,-711125.8838844306,-1163.0913999999998
2929519.4896698017,-710512.05991745,-1108.5829999999999
2929519.4896698017,-709898.2359504702,-1045.2354
2929519.4896698017,-709284.4119834905,-964.2094
2929519.4896698017,-708670.5880165099,-882.4467999999999
2929519.4896698017,-708056.7640495301,-726.2876
2929519.4896698017,-707442.9400825504,-582.6506
2929519.4896698017,-706829.1161155705,-483.94620000000003
2929519.4896698017,-706215.2219009399,-359.4608
2929519.4896698017,-705601.3979339601,-242.3414
2929519.4896698017,-704987.5739669803,-164.99839999999998
2929519.4896698017,-704373.7500000007,-133.3246
2929519.4896698017,-703759.92603302,-120.0658
2929519.4896698017,-703146.1020660402,-115.6462
2929519.4896698017,-702532.2780990605,-112.6998
2929519.4896698017,-701918.3838844298,-110.49000000000001
2929519.4896698017,-701304.5599174501,-108.2802
2929519.4896698017,-700690.7359504702,-106.0704
2929519.4896698017,-700076.9119834905,-104.5972
2929519.4896698017,-699463.0880165099,-103.124
2929519.4896698017,-698849.2640495301,-101.65079999999999
2929519.4896698017,-698235.4400825503,-100.9142
2929519.4896698017,-697621.6161155708,-100.17760000000001
2929519.4896698017,-697007.7219009399,-98.7044
2929519.4896698017,-696393.8979339602,-97.9678
2929519.4896698017,-695780.0739669803,-97.2312
2929519.4896698017,-695166.2499999998,-97.2312
2929519.4896698017,-694552.42603302,-96.49459999999999
2929519.4896698017,-693938.6020660403,-95.758
2929519.4896698017,-693324.7780990604,-95.0214
2929519.4896698017,-692710.8838844298,-95.0214
2929519.4896698017,-692097.0599174501,-94.2848
2929519.4896698017,-691483.2359504703,-94.2848
2929519.4896698017,-690869.4119834905,-94.2848
2929519.4896698017,-690255.5880165099,-93.54820000000001
2929519.4896698017,-689641.7640495301,-92.8116
2929519.4896698017,-689027.9400825504,-92.075
2929519.4896698017,-688414.1161155705,-91.3384
2929519.4896698017,-687800.2219009399,-91.3384
2929519.4896698017,-687186.3979339601,-90.6018
2929519.4896698017,-686572.5739669804,-89.8652
2929519.4896698017,-685958.7500000007,-89.12859999999999
2929519.4896698017,-685344.92603302,-88.392
2929519.4896698017,-684731.1020660403,-86.9188
2929519.4896698017,-684117.2780990605,-86.18220000000001
2929519.4896698017,-683503.3838844299,-85.4456
2929519.4896698017,-682889.5599174501,-83.9724
2929519.4896698017,-682275.7359504702,-82.49919999999999
2929519.4896698017,-681661.9119834905,-81.02600000000001
2929519.4896698017,-681048.08801651,-78.0796
2929519.4896698017,-680434.2640495301,-75.1332
2929519.4896698017,-679820.4400825504,-71.45020000000001
2929519.4896698017,-679206.6161155708,-67.7672
2929519.4896698017,-678592.7219009399,-64.0842
2929519.4896698017,-677978.8979339602,-61.1378
2929519.4896698017,-677365.0739669804,-58.1914
2929519.4896698017,-676751.2499999998,-55.9816
2929519.4896698017,-676137.4260330201,-54.5084
2929519.4896698017,-675523.6020660403,-53.7718
2929519.4896698017,-674909.7780990605,-51.562
2929519.4896698017,-674295.8838844298,-49.3522
2929519.4896698017,-673682.0599174501,-47.1424
2929519.4896698017,-673068.2359504703,-46.4058
2929519.4896698017,-672454.4119834907,-45.6692
2929519.4896698017,-671840.5880165099,-43.4594
2929519.4896698017,-671226.7640495301,-40.513000000000005
2929519.4896698017,-670612.9400825504,-38.3032
2929519.4896698017,-669999.1161155708,-34.6202
2929519.4896698017,-669385.2219009399,-30.9372
2929519.4896698017,-668771.3979339602,-27.2542
2929519.4896698017,-668157.5739669804,-22.098
2929519.4896698017,-667543.7499999999,-17.6784
2929519.4896698017,-666929.92603302,-13.2588
2929519.4896698017,-666316.1020660403,-11.049
2929519.4896698017,-665702.2780990605,-6.6294
2928905.80619812,-727085.5880165099,-1948.307
2928905.80619812,-726471.7640495303,-1926.209
2928905.80619812,-725857.9400825499,-1863.598
2928905.80619812,-725244.1161155703,-1797.304
2928905.80619812,-724630.2219009395,-1761.9472
2928905.80619812,-724016.39793396,-1744.2688
2928905.80619812,-723402.5739669795,-1719.961
2928905.80619812,-722788.75,-1687.5506
2928905.80619812,-722174.9260330197,-1655.1402
2928905.80619812,-721561.1020660399,-1623.4664
2928905.80619812,-720947.2780990596,-1591.7926
2928905.80619812,-720333.3838844296,-1563.8018
2928905.80619812,-719719.55991745,-1533.6012
2928905.80619812,-719105.7359504696,-1499.7176
2928905.80619812,-718491.9119834901,-1458.468
2928905.80619812,-717878.0880165097,-1388.491
2928905.80619812,-717264.2640495301,-1328.8264000000001
