X,Y,Z
4314113.72009277,-2457855.53577801,12016
4314113.72009277,-2457132.11619541,12029
4314113.72009277,-2456408.69661281,12012
4313186.27990723,-2457418.88697022,12056
4313186.27990723,-2456695.38295765,12208
4313186.27990723,-2455971.87894508,12336
4313186.27990723,-2455248.37493251,12272
4313186.27990723,-2454524.87091994,12197
4313186.27990723,-2452354.19328277,12010
4313186.27990723,-2450907.18525763,12010
4312258.41506958,-2456258.56012402,12244
4312258.41506958,-2455534.97165813,12409
4312258.41506958,-2454811.38319223,12417
4312258.41506958,-2454087.79472634,12395
4312258.41506958,-2453364.20626045,12259
4312258.41506958,-2452640.45217578,12112
4312258.41506958,-2451916.86370988,12013
4312258.41506958,-2451193.27524399,12021
4312258.41506958,-2450469.6867781,12001
4311330.97488403,-2455821.38528732,12117
4311330.97488403,-2455097.71242206,12329
4311330.97488403,-2454374.0395568,12396
4311330.97488403,-2453650.36669154,12409
4311330.97488403,-2452926.52818818,12406
4311330.97488403,-2452202.85532292,12354
4311330.97488403,-2451479.18245766,12157
4311330.97488403,-2450755.5095924,12075
4310403.11004639,-2455384.1208096,12061
4310403.11004639,-2454660.36352164,12133
4310403.11004639,-2453936.60623368,12279
4310403.11004639,-2453212.6832883,12325
4310403.11004639,-2452488.92600034,12349
4310403.11004639,-2451765.16871238,12379
4310403.11004639,-2451041.41142442,12402
4310403.11004639,-2450317.65413646,12350
4310403.11004639,-2449593.8968485,12232
4310403.11004639,-2448870.13956054,12097
4310403.11004639,-2448146.38227258,12002
4309475.66986084,-2454222.66287667,12010
4309475.66986084,-2453498.65554321,12176
4309475.66986084,-2452774.8138865,12225
4309475.66986084,-2452050.97222978,12300
4309475.66986084,-2451327.13057307,12348
4309475.66986084,-2450603.28891635,12410
4309475.66986084,-2449879.44725963,12435
4309475.66986084,-2449155.60560292,12415
4309475.66986084,-2448431.7639462,12378
4309475.66986084,-2447707.92228948,12272
4309475.66986084,-2446984.08063277,12119
4309475.66986084,-2446260.23897605,12024
4308547.80502319,-2452336.85472866,12131
4308547.80502319,-2451612.92867987,12235
4308547.80502319,-2450889.00263108,12336
4308547.80502319,-2450165.07658229,12387
4308547.80502319,-2449441.1505335,12392
4308547.80502319,-2448717.22448472,12437
4308547.80502319,-2447993.29843593,12484
4308547.80502319,-2447269.37238714,12469
4308547.80502319,-2446545.44633835,12397
4308547.80502319,-2445821.52028956,12270
4308547.80502319,-2444373.66819199,12021
4308547.80502319,-2443649.7421432,12037
4307620.36483765,-2451898.54413869,12120
4307620.36483765,-2451174.53375176,12211
4307620.36483765,-2450450.52336483,12283
4307620.36483765,-2449726.51297791,12344
4307620.36483765,-2449002.50259098,12401
4307620.36483765,-2448278.49220405,12496
4307620.36483765,-2447554.48181713,12558
4307620.36483765,-2446830.4714302,12570
4307620.36483765,-2446106.46104328,12547
4307620.36483765,-2445382.45065635,12511
4307620.36483765,-2444658.44026942,12406
4307620.36483765,-2443934.4298825,12232
4307620.36483765,-2443210.25378022,12105
4307620.36483765,-2441762.23300636,12009
4306692.5,-2451460.14374773,12140
4306692.5,-2450736.04899937,12217
4306692.5,-2450011.95425101,12289
4306692.5,-2449287.85950264,12347
4306692.5,-2448563.76475428,12404
4306692.5,-2447839.67000592,12508
4306692.5,-2447115.57525756,12584
4306692.5,-2446391.48050919,12684
4306692.5,-2445667.38576083,12687
4306692.5,-2444943.29101247,12672
4306692.5,-2444219.19626411,12592
4306692.5,-2443494.93578108,12532
4306692.5,-2442770.84103272,12445
4306692.5,-2442046.74628436,12363
4306692.5,-2441322.65153599,12211
4305764.63516235,-2450297.34367444,12150
4305764.63516235,-2448848.98548549,12374
4305764.63516235,-2448124.80639101,12435
4305764.63516235,-2447400.62729654,12505
4305764.63516235,-2446676.44820207,12587
4305764.63516235,-2445952.26910759,12707
